specialization,fees,avg_rate,waiting_time,clinic_location,rate_count
Dentist,150 EGP,5,Waiting Time : 11 Minutes,6th of October : central axis 5th district - infront of el khazan street,From 33 Visitors
Ophthalmologist,250 EGP,5,Waiting Time : 8 Minutes,El-Maadi : Carrefour street,From 34 Visitors
Orthopedist,300 EGP,5,Waiting Time : 10 Minutes,Nasr City : block 10 emtedad abo dawoud,From 69 Visitors
Dentist,50 EGP,5,Waiting Time : 17 Minutes,null,From 3 Visitors
Plastic Surgeon,250 EGP,5,Waiting Time : 36 Minutes,null,From 3 Visitors
Psychiatrist,185 EGP,5,Waiting Time : 1 Hour,null,From 3 Visitors
Psychiatrist,160 EGP,5,Waiting Time : 5 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 8 Minutes,6th of October : Street 19-vranched from elkhazan street-neighborhood 3-Fifth district,From 3 Visitors
Cardiologist,300 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Internist,500 EGP,5,Waiting Time : 35 Minutes,null,From 3 Visitors
Internist,500 EGP,5,Waiting Time : 29 Minutes,null,From 3 Visitors
Internist,500 EGP,5,Waiting Time : 47 Minutes,null,From 3 Visitors
Nutritionist,700 EGP,5,Waiting Time : 32 Minutes,El-Sheikh Zayed : ElMehwar Elmarkazi,From 3 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Orthopedist,400 EGP,5,Waiting Time : 16 Minutes,null,From 20 Visitors
Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Giza : mourad,From 20 Visitors
Gynecologist,200 EGP,5,Waiting Time : 10 Minutes,null,From 20 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 8 Minutes,Tanta : Elgish st,From 62 Visitors
Dentist,90 EGP,5,Waiting Time : 13 Minutes,null,From 21 Visitors
Cardiologist,300 EGP,5,Waiting Time : 17 Minutes,Heliopolis : El nozha street-Smart Slim Clinic besides Administrative Oversight,From 21 Visitors
Dermatologist,300 EGP,5,Waiting Time : 8 Minutes,null,From 22 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 13 Minutes,null,From 22 Visitors
Orthopedist,250 EGP,5,Waiting Time : 10 Minutes,El-Zaitoun : Toman bai,From 22 Visitors
Ophthalmologist,350 EGP,5,Waiting Time : 8 Minutes,6th of October : Abdelkhalek tharwat,From 137 Visitors
Pulmonologist,300,,null,null,null
Cardiologist,300 EGP,5,Waiting Time : 30 Minutes,null,From 60 Visitors
Dentist,100 EGP,5,Waiting Time : 14 Minutes,Faisal : king faisal street- al Marioteya,From 60 Visitors
Cardiologist,400 EGP,5,Waiting Time : 11 Minutes,El-Sheikh Zayed : Downtown mall 2-besides total fuel station,From 90 Visitors
Ophthalmologist,210 EGP,5,Waiting Time : 26 Minutes,Bulkly : Bulkly / Al-Hadaya Tram Station / Al-Khaleej Building (A),From 220 Visitors
Gynecologist,200 EGP,5,Waiting Time : 10 Minutes,Port Said City : safya zaghlol and mashrak st,From 32 Visitors
Obesity Surgeon,250 EGP,5,Waiting Time : 27 Minutes,null,From 65 Visitors
Dentist,150 EGP,5,Waiting Time : 11 Minutes,6th of October : central axis 5th district - infront of el khazan street,From 33 Visitors
Ophthalmologist,250 EGP,5,Waiting Time : 8 Minutes,El-Maadi : Carrefour street,From 34 Visitors
Orthopedist,300 EGP,5,Waiting Time : 10 Minutes,Nasr City : block 10 emtedad abo dawoud,From 69 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Surgical Oncologist,300 EGP,5,Waiting Time : 2 Hours and 54 Minutes,El-Ismailia city : Shbeen St.,From 42 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Suiz Canal Street-ElSabeaa Tower,From 70 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 15 Minutes,El-Sheikh Zayed : Zayed (Badr) mall,From 998 Visitors
ENT Doctor,100 EGP,5,Waiting Time : 26 Minutes,El-Mansoura : new bus street,From 183 Visitors
Cardiologist,250 EGP,5,Waiting Time : 37 Minutes,Mit Ghamr : el moahda street,From 71 Visitors
General Surgeon,140 EGP,5,Waiting Time : 16 Minutes,El-Mansoura : thawra,From 29 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 8 Minutes,El-Giza : Giza Square Al haram street,From 418 Visitors
Neurosurgeon,500 EGP,5,Waiting Time : 39 Minutes,null,From 15 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 17 Minutes,Shibin Al Qanater : mostrad station,From 15 Visitors
Cardiologist,300 EGP,5,Waiting Time : 25 Minutes,El-Manyal : el saraya,From 15 Visitors
Cardiologist,400 EGP,5,Waiting Time : 11 Minutes,Heliopolis : ahmed fouad street,From 18 Visitors
Physiotherapist,300 EGP,5,Waiting Time : 9 Minutes,Hadayek El-Ahram : Gardinia Gate-First Gate-Health Happiness Center,From 18 Visitors
Dermatologist,200 EGP,5,Waiting Time : 17 Minutes,Ain Shams : Gesr Suez street  - alf maskan square,From 36 Visitors
Gynecologist,100 EGP,5,Waiting Time : 37 Minutes,Helwan : Mahmoud Khater Street cross Abdullah,From 73 Visitors
Vascular Surgeon,150 EGP,5,Waiting Time : 13 Minutes,Mahalla : elmashma square,From 37 Visitors
Cardiologist,500 EGP,5,Waiting Time : 24 Minutes,null,From 19 Visitors
Rheumatologist,300 EGP,5,Waiting Time : 27 Minutes,null,From 38 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 9 Minutes,Nasr City : Abo Dawoud El Zahry,From 232 Visitors
Dentist,100 EGP,5,Waiting Time : 12 Minutes,null,From 39 Visitors
Oncologist,400 EGP,5,Waiting Time : 1 Hour and 1 Minute,Tanta : El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower,From 39 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Neurologist,300 EGP,5,Waiting Time : 15 Minutes,El-Maadi : Ellaselki Street-New Maadi,From 24 Visitors
Ophthalmologist,500 EGP,5,Waiting Time : 15 Minutes,Heliopolis : Gesr El Swis- El Anaan Tower,From 132 Visitors
Gynecologist,200 EGP,5,Waiting Time : 27 Minutes,"Loran : Maher Bek st,",From 85 Visitors
Gastroenterologist,450 EGP,5,Waiting Time : 14 Minutes,New Cairo : North teseen street,From 184 Visitors
Surgical Oncologist,200 EGP,5,Waiting Time : 31 Minutes,Tanta : algalaa,From 37 Visitors
Gynecologist,200 EGP,5,Waiting Time : 12 Minutes,Heliopolis : El khalefa Elmamoan St,From 25 Visitors
Gynecologist,100 EGP,5,Waiting Time : 23 Minutes,Mahalla : Elshoun 23 Yolio street,From 25 Visitors
General Surgeon,300 EGP,5,Waiting Time : 12 Minutes,El-Maadi : El horreya square Street,From 50 Visitors
Ophthalmologist,150 EGP,5,Waiting Time : 16 Minutes,Mahalla : alshoun square al asar steet,From 100 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,Nasr City : Abbas Elakad Street,From 238 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 32 Minutes,Hadayek El-Kobba : Masr we El Sudan,From 303 Visitors
Gynecologist,500 EGP,5,Waiting Time : 59 Minutes,Heliopolis : Ahmad El-Tahawi,From 38 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 9 Minutes,Mahalla : waboor alnor,From 318 Visitors
Internist,120 EGP,5,Waiting Time : 11 Minutes,Mahalla : Talaat Harb Square,From 166 Visitors
Gastroenterologist,300 EGP,5,Waiting Time : 22 Minutes,null,From 13 Visitors
Pediatrician,200 EGP,5,Waiting Time : 13 Minutes,null,From 13 Visitors
Urologist,300 EGP,5,Waiting Time : 20 Minutes,null,From 13 Visitors
Pediatric Surgeon,200 EGP,5,Waiting Time : 7 Minutes,El-Obour City : First District - Hijaz Center,From 13 Visitors
Dentist,100 EGP,5,Waiting Time : 10 Minutes,Hadayek El-Ahram : Elgiesh Street-Gate 4 Besides Reayah Pharmacy,From 26 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 7 Minutes,West El-Balad : alfy,From 302 Visitors
Surgical Oncologist,300 EGP,5,Waiting Time : 2 Hours and 54 Minutes,El-Ismailia city : Shbeen St.,From 42 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Suiz Canal Street-ElSabeaa Tower,From 70 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 15 Minutes,El-Sheikh Zayed : Zayed (Badr) mall,From 998 Visitors
ENT Doctor,100 EGP,5,Waiting Time : 26 Minutes,El-Mansoura : new bus street,From 183 Visitors
Cardiologist,250 EGP,5,Waiting Time : 37 Minutes,Mit Ghamr : el moahda street,From 71 Visitors
General Surgeon,140 EGP,5,Waiting Time : 16 Minutes,El-Mansoura : thawra,From 29 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 8 Minutes,El-Giza : Giza Square Al haram street,From 418 Visitors
Neurosurgeon,500 EGP,5,Waiting Time : 39 Minutes,null,From 15 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 17 Minutes,Shibin Al Qanater : mostrad station,From 15 Visitors
Cardiologist,300 EGP,5,Waiting Time : 25 Minutes,El-Manyal : el saraya,From 15 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Pulmonologist,500 EGP,4.5,Waiting Time : 5 Hours and 6 Minutes,El-Ibrahimia : Omar Lotfy st lteram,From 361 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 26 Minutes,El-Haram : Khofo street - El kom El Akhdar - Haram,From 180 Visitors
Urologist,300 EGP,4.5,Waiting Time : 55 Minutes,Heliopolis : el sawra,From 2029 Visitors
Pediatrician,120 EGP,5,Waiting Time : 1 Hour and 12 Minutes,Victoria : El Galaa St.,From 302 Visitors
Psychiatrist,450 EGP,4,Waiting Time : 41 Minutes,Heliopolis : Mostafa Refaat,From 50 Visitors
Vascular Surgeon,400 EGP,4.5,Waiting Time : 11 Minutes,El-Manyal : El Manyal,From 69 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 17 Minutes,Victoria : El Galaa St.,From 228 Visitors
Vascular Surgeon,160 EGP,4.5,Waiting Time : 51 Minutes,Tanta : El Gaish st,From 154 Visitors
General Surgeon,400 EGP,4.5,Waiting Time : 9 Minutes,New Cairo : Corner mall In front of El Rehab,From 93 Visitors
Dermatologist,300 EGP,4.5,Waiting Time : 34 Minutes,El-Maadi :  El Horya Square,From 647 Visitors
Pulmonologist,250 EGP,4.5,Waiting Time : 29 Minutes,El-Matareya : Beet El Ezz 2 building - Matareya square - Building A - Third floor,From 296 Visitors
Internist,300 EGP,4.5,Waiting Time : 23 Minutes,"6th of October : Safa Clinics, Magda Square, Beside Resala, 6th October",From 891 Visitors
Phoniatrician,200 EGP,4,Waiting Time : 33 Minutes,Tanta : Elnahas cross kafr essam,From 135 Visitors
Orthopedist,300 EGP,4.5,Waiting Time : 22 Minutes,"Nasr City : 11 rabea buldings , behind tom & Bassal , 2nd floor",From 1266 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 42 Minutes,Miamy : Gamal AbdelNasser st,From 667 Visitors
Urologist,600 EGP,4,Waiting Time : 26 Minutes,El-Mohandessin :  shehab street,From 51 Visitors
Hepatologist,360 EGP,4,Waiting Time : 1 Hour and 5 Minutes,El-Dokki : altahrir,From 188 Visitors
Gynecologist,210 EGP,4.5,Waiting Time : 13 Minutes,El-Mansoura : abbasi street,From 100 Visitors
Internist,250 EGP,4,Waiting Time : 31 Minutes,Faisal,From 103 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 17 Minutes,Faisal : 27elshahid Ahmad Hamdy,From 122 Visitors
